"OWNER_CODE","DISCOVERY_DOY","FIRE_SIZE","LATITUDE","LONGITUDE","STAT_CAUSE_DESCR"
5,302,0.1,37.25972222,-119.37833333,"Equipment Use"
5,300,0.1,34.62638889,-118.72444444,"Equipment Use"
5,248,100,34.24555556,-117.43416667,"Equipment Use"
5,330,0.25,38.17694444,-120.10027778,"Equipment Use"
13,255,146,34.85888889,-94.29861111,"Equipment Use"
6,49,0.5,33.25333333,-81.70444444,"Equipment Use"
5,63,0.75,36.85916667,-84.48888889,"Equipment Use"
5,148,0.25,35.32277778,-79.95277778,"Equipment Use"
14,44,0.1,34.37777778,-118.49138889,"Equipment Use"
5,240,154,37.06527778,-119.45416667,"Equipment Use"
14,233,0.1,34.61194444,-118.26916667,"Equipment Use"
5,44,0.2,34.14388889,-116.99,"Equipment Use"
5,135,0.1,34.56833333,-118.68666667,"Equipment Use"
13,108,7.1,37.6025,-91.10611111,"Equipment Use"
5,106,9,41.78138889,-79.13083333,"Equipment Use"
5,109,2,37.75527778,-79.19444444,"Equipment Use"
5,157,0.5,34.71361111,-111.77833333,"Equipment Use"
5,309,0.1,34.36555556,-111.43277778,"Equipment Use"
13,203,0.1,34.29805556,-118.27277778,"Equipment Use"
5,25,1,34.58,-118.70277778,"Equipment Use"
14,7,30,33.52666667,-116.80388889,"Equipment Use"
13,170,9.4,31.36,-110.38555556,"Equipment Use"
5,127,0.1,34.67861111,-118.77833333,"Equipment Use"
13,180,0.25,39.6425,-120.21194444,"Equipment Use"
5,188,0.25,43.92916667,-115.96611111,"Equipment Use"
5,97,0.1,34.2725,-118.16,"Equipment Use"
5,200,2,34.34416667,-117.43916667,"Equipment Use"
5,22,1,34.34638889,-117.51027778,"Equipment Use"
5,17,0.1,33.71027778,-116.7675,"Equipment Use"
13,34,0.1,32.82027778,-116.58972222,"Equipment Use"
14,296,0.1,34.21888889,-118.19611111,"Equipment Use"
5,183,0.25,42.36222222,-111.51888889,"Equipment Use"
5,254,0.9,47.36388889,-103.55444444,"Equipment Use"
5,224,0.1,48.56777778,-116.89416667,"Equipment Use"
14,296,0.1,34.50138889,-118.23166667,"Equipment Use"
5,117,19,31.05,-93.09166667,"Equipment Use"
6,305,1,33.33305556,-81.59166667,"Equipment Use"
5,91,15,41.38055556,-88.18416667,"Equipment Use"
14,242,0.1,33.57527778,-117.29055556,"Equipment Use"
5,307,61,37.09777778,-101.955,"Equipment Use"
5,147,2.5,36.60555556,-105.97027778,"Equipment Use"
5,198,0.1,34.78777778,-83.78194444,"Equipment Use"
5,309,0.7,45.37527778,-88.4375,"Equipment Use"
5,132,0.1,34.34666667,-117.45861111,"Equipment Use"
5,123,95,34.85833333,-76.90916667,"Equipment Use"
5,191,2,34.55638889,-118.67277778,"Equipment Use"
5,42,0.1,34.23222222,-117.425,"Equipment Use"
5,114,1,38.78444444,-82.64916667,"Equipment Use"
5,160,0.01,40.69055556,-105.34694444,"Equipment Use"
5,87,0.1,34.41527778,-117.77361111,"Equipment Use"
14,195,0.1,36.13583333,-121.64805556,"Equipment Use"
5,108,1,31.015,-93.16527778,"Equipment Use"
